title,date,publisher,venue,authors,abstract,요약
IMPROVEMENT OF LONG SHOTS ON GOAL IN AN ELITE FOOTBALL TEAM,2018-06-06,University of Bucharest (Bucharest University Press),UNIVERSITY ARENA,"Cristian Mihai CARACALEANU, Sorin Gabriel CARACALEANU","Background. As we know, football is worldwide considered, by specialists and not only by them, the most beloved sports discipline practiced by a huge number of young people all over the world. In this regard, the paper aims to demonstrate the usefulness and necessity of conducting studies and researches meant to improve the successful completion of the attacks for goal scoring in elite football. Objectives. As an act of scientific research, this paper has certain objectives set as benchmarks: determining the real image of the technical-tactical profile of the team (in terms of long shots) based on the official games records regarding the attack actions mentioned above; centralization of the attacking phases and their achievement (per player, per completion, per player) and the way to improve and implicitly adapt the contents of the training session; correlation of the tactical tasks established by the coach with the actual possibilities of F. C. Voluntari team players and counting of these issues; making the players aware of how they fulfill the tactical responsibilities of an official game and giving immediate feedback by systematically presenting the tactical actions performed by the players in each game. Methods. The following methods were used to conduct this research: study of the specialized literature documents; discussion method; method of observation and recording, statistical-mathematical and graphical representation method. The study was carried out in “F. C. Voluntari” Football Club. The observation, discussions, obtained data and records took place throughout the Championships of Division B, 2009-2010 edition. The measurements referred to: recording by observation and assistance in official and friendly games, both in and out, during the team training sessions as well; data comparison; determination of the share of “shots for goal “ of the players included in this team. The records began in the 2nd stage, on August 17, 2009 and were concluded on May 24, 2010, in the 28th stage of that competitive season. There were made 15 sheets monitoring the number of shots: by distance, by execution pattern (from stationary moments and from action), all over the game, divided into 2 halves and 5 record protocols during the training sessions. Results. The analysis of the results proves the evolution of the shot on goal technique which is essentially determined by the discovery and highlighting of biomechanics data and which influenced decisively the performance level all over the years. The changes occurred in the shot technique were supported in parallel by special modifications of the training, especially with regard to the development of motor skills (strength, speed) aiming to increase the efficiency. The study demonstrated that the team of F. C. Voluntari Bucharest, implementing the programs for long shot improvement in their training sessions, achieved the expected results and reached the objectives set for the current season. A higher efficiency of the shots made from action was found out, namely: 65.1% of the shots were made from action and only 34.9% from stationary phases. Conclusion. In order to achieve performance, the practice of the shots on goal is an essential factor of the football game. This can be done in special training sessions, using the records of the games.","This paper investigates techniques to improve long shots on goal within an elite football team, specifically F. C. Voluntari, by analyzing the team's technical-tactical profile through official game records. It highlights the significance of training adaptations and player awareness regarding tactical responsibilities, ultimately demonstrating that enhanced training programs resulted in a notable increase in shooting efficiency from action during competitive play."
Previous foot injuries associated with a greater likelihood of Achilles tendon ruptures in professional American football players,2018-06-04,Informa UK Limited,The Physician and Sportsmedicine,"Michael K. Krill, Joshua Hoffman, JaeWon Yang, Johnathan D. Hodax, Brett D. Owens, Timothy E. Hewett","Objectives: The purpose of this study was to build on current understanding of Achilles tendon (AT) ruptures in football through the examination of lower extremity injury rates (IR) in the season prior to AT rupture.Methods: An online review was conducted to document AT ruptures in the National Football League (NFL) from the 2010–11 through 2016–17 seasons. Player-specific information was gathered through the online search, injury reports, or video analysis. Injury incidence was recorded for each season. Descriptive statistics were calculated for all variables. IRs per 1000 athlete-exposures with 95% confidence intervals (CI) were established. Injury rate ratios (IRR) with 95% CI were calculated to evaluate differences in IR with statistical significance established at p < 0.05.Results: From the 2010–11 to 2016–17 NFL seasons, 109 AT ruptures were identified. 36 athletes participated in the NFL the season prior and sustained a total of 40 injuries. Thirty-two (32/40, 80%) of the injuries involved the lower extremity. The most frequent body parts injured in the NFL season prior to AT rupture were the knee (n = 8, 22.5%), upper leg and thigh (n = 7, 17.5%), lower leg and shin (n = 5, 12.5%), and ankle (n = 5, 12.5%). The overall IR for the AT rupture group was not significantly different than the NFL group (IRR: 0.94, 0.68–1.31 95% CI, p = 0.73). The AT rupture group demonstrated a significantly increased rate of foot injuries compared to the NFL cohort (IRR: 2.58, 1.16–5.77 95% CI, p = 0.02).Conclusion: There was an increased identified incidence of AT ruptures in the NFL from 2010 to 2017 compared to AT ruptures reported from 1997 to 2002. There was no significant difference in lower extremity IR the season prior to AT rupture. Only foot injuries demonstrated an increased IR the season prior to AT rupture compared to an NFL cohort. Eleven athletes sustained 2 AT ruptures and all 11 players sustained the subsequent AT rupture to the contralateral limb.","This study investigates the relationship between previous foot injuries and the likelihood of Achilles tendon ruptures in professional American football players. It finds that while lower extremity injury rates did not significantly differ before tendon ruptures, there is a notably increased incidence of foot injuries in players who subsequently suffered Achilles tendon ruptures."
Influence of Maximal Running Shoes on Biomechanics Before and After a 5K Run,2018-06-01,SAGE Publications,Orthopaedic Journal of Sports Medicine,"Christine D. Pollard, Justin A. Ter Har, J.J. Hannigan, Marc F. Norcross","Background: Lower extremity injuries are common among runners. Recent trends in footwear have included minimal and maximal running shoe types. Maximal running shoes are unique because they provide the runner with a highly cushioned midsole in both the rearfoot and forefoot. However, little is known about how maximal shoes influence running biomechanics. Purpose: To examine the influence of maximal running shoes on biomechanics before and after a 5-km (5K) run as compared with neutral running shoes. Study Design: Controlled laboratory study. Methods: Fifteen female runners participated in 2 testing sessions (neutral shoe session and maximal shoe session), with 7 to 10 days between sessions. Three-dimensional kinematic and kinetic data were collected while participants ran along a 10-m runway. After 5 running trials, participants completed a 5K treadmill run, followed by 5 additional running trials. Variables of interest included impact peak of the vertical ground-reaction force, loading rate, and peak eversion. Differences were determined by use of a series of 2-way repeated-measures analysis of variance models (shoe × time). Results: A significant main effect was found for shoe type for impact peak and loading rate. When the maximal shoe was compared with the neutral shoe before and after the 5K run, participants exhibited an increased loading rate (mean ± SE: pre–maximal shoe, 81.15 body weights/second [BW/s] and pre–neutral shoe, 60.83 BW/s [ P &lt; .001]; post–maximal shoe, 79.10 BW/s and post–neutral shoe, 61.22 BW/s [ P = .008]) and increased impact peak (pre–maximal shoe, 1.76 BW and pre–neutral shoe, 1.58 BW [ P = .004]; post–maximal shoe, 1.79 BW and post–neutral shoe, 1.55 BW [ P = .003]). There were no shoe × time interactions and no significant findings for peak eversion. Conclusion: Runners exhibited increased impact forces and loading rate when running in a maximal versus neutral shoe. Because increases in these variables have been associated with an increased risk of running-related injuries, runners who are new to running in a maximal shoe may be at an increased risk of injury. Clinical Relevance: Understanding the influence of running footwear as an intervention that affects running biomechanics is important for clinicians so as to reduce patient injury.","The paper investigates the impact of maximal running shoes on biomechanics, specifically focusing on the changes in impact peak and loading rate during running before and after a 5K run compared to neutral shoes. The results indicate that runners experience increased loading rates and impact forces when using maximal shoes, which may elevate the risk of running-related injuries."
Necessary Steps to Accelerate the Integration of Wearable Sensors Into Recreation and Competitive Sports,2018-06-01,Ovid Technologies (Wolters Kluwer Health),Current Sports Medicine Reports,"Peter Düking, Christian Stammel, Billy Sperlich, Shaun Sutehall, Borja Muniz-Pardos, Giscard Lima, Liam Kilduff, Iphigenia Keramitsoglou, Guoping Li, Fabio Pigozzi, Yannis P. Pitsiladis","Background A variety of wearable sensor technologies (herein referred to as “wearables”) are being developed by an ever-increasing number of companies and receiving considerable attention from the athletic community. Wearables can be defined as small, lightweight devices worn on, close to, or even in the body where they monitor, analyze, transmit, and/or receive data from other devices and/or cloud services to provide biofeedback in real time to the user (1). Wearables can be used by a wide range of individuals engaged in activities of daily living or training and competing as amateur or professional athletes. Wearables may be used to monitor and analyze physiological parameters and individualize training programs to enhance performance and/or health (2–4). Pedometers were among the first wearables developed to measure physical activity by the polymath Leonardo da Vinci some 500 years ago (5). da Vinci’s mechanism was designed to measure vertical movements by moving a lever up and down, resulting in the rotation of a gear and this remains the basis of modern day devices. Major advances in technology over the past two decades have resulted in the triaxial accelerometer that measures movements in the anteroposterior, mediolateral, and vertical direction, alleviating the limitations of previous devices (6). Accelerometry-based wearables can be used to objectively assess physical activity and interventions aimed at improving health-related outcomes (7). In professional rugby union, a device that incorporates Global Navigation Satellite Systems (GNSS), accelerometry, and gyroscope technology is now routinely fitted to the underside of each player’s jersey between the shoulder blades. These wearable microsensors allow player movement to be recorded and reported live during match-play, providing team coaches with key performance “metrics” such as total distance covered by a player in match play, number of accelerations and decelerations, and “impact” (8) during any given contact or tackle. It is claimed that these performance metrics enable team coaches to track and plan the match play strategy. Changes in sporting rules and regulations have facilitated the use of these devices. For example, the Competition Rule 144 d of the International Association of Athletics Federations (2018 to 2019) on assistance allows “Heart rate or speed distance monitors or stride sensors or similar devices carried or worn personally by athletes during an event, provided that such device cannot be used to communicate with any other person” (9). Rules such as this promote the use of wearables in elite sport and encourage companies to develop these tools to facilitate high-level performance. Wearable technology emerged as the top fitness trend in a worldwide survey conducted recently by the American College of Sports Medicine (ACSM) (10), predicting sales of U.S. $1.5 to U.S. $2.5 billion for some devices and prompting the statement that “it is unpredictable how wearable technology will advance through the next decade.” Advances in wearable innovations are being presented by an increasing number of companies at international wearable technology conferences (e.g., Medical Wearables 2018 (11)). The main marketing claim being low cost and easy-to-use wearables that allow noninvasive or minimally invasive monitoring of a variety of physiological and biomechanical parameters, which in the past were simply not possible, or only measurable with sophisticated, time-consuming, and costly laboratory procedures. For example, contact lenses may be used to continuously monitor glucose levels (12), soccer shoes may improve kicking accuracy (13), and fabrics may be commercially available to monitor vital signs such as respiratory rate (14). Despite the revolutionary potential of wearables, there are well-founded concerns about the wearable industry (15). The main criticisms relate to the lack of evidence for the beneficial effects of analysing a specific parameter in a given context or isolation, the quality of hardware and provided data, information overload, data security, and exaggerated marketing claims (1,15–17). For these reasons, athletes, regulatory bodies, and relevant stakeholders are becoming increasingly sceptical about wearables. The questionable reputation of some wearables is having a detrimental effect on the reputation of evidence-based devices. Aggressive and exaggerated marketing claims and the hasty launch of wearable products with no, or only internal validation and reliability studies, and no external evaluation, are highly problematic (15). Wearable devices that use biological data for health purposes ought to be required to undergo rigorous evaluation before being launched on the market, similar to the process pharmaceutical industries use to test their products (15). Backing up the marketing claims of wearable technology developers with independent scientific evidence would positively impact sports, fitness, and health market. Failure to do so should be subject to financial and other penalties as happened in the past (18,19). Wearable technology that is backed by quality science will be more profitable and sustainable in the long run, and the companies involved will have a much higher return on their investment. Current Applications A recent example used in elite sport and associated with the International Federation of Sports Medicine (FIMS) is the mobile application developed by sport scientists and engineers for the Sub2hrs marathon project (20,21). The Sub2hrs project is the first dedicated international multidisciplinary research initiative to include scientists from academia, elite athletes, and strategic industry partners with the aim of running a sub two-hour marathon while promoting doping-free and fair sport. The Sub2 mobile application (Fig. 1) was developed to serve as a “hub” to aggregate a range of data feeds to assist elite runners and their support teams to improve athletic performance. In addition, the “hub” is intended to improve the experience of spectators through real time broadcasting of information pertaining to the “live” performance. This application can provide highly precise real-time measures for athletes and their support teams, such as distance run and speed using a proprietary algorithm. A number of sensors to measure heart rate, running economy, and core temperature along with other physiological and kinematic parameters (e.g., contact time, cadence, strike angle) can be integrated to provide a holistic and comprehensive overview of the activity and its impact on the athlete. The app provides a live data feed of land and air temperature based on geostationary satellite data as well as state-of-the-art machine learning techniques. This is facilitated through a Cloud-based portal allowing the athlete support team to view the data on a desktop, tablet, or a smartphone in real time anywhere around the globe with internet access. The Sub2 mobile application runs on smartwatches with the Android Wear 2.0 operating system and standalone connectivity, overcoming the need for the smart watch to be paired to a smartphone (Fig. 1). Historically, such capacity to transmit biometric data such as body temperature, pace, cadence, heart rate, and breathing rate in real time during a race was only possible using tablets held by nearby cyclists following the runners at all times (22) or by recording singular data points at predetermined distances or times along the course. The app performance was tested on an elite female athlete during the recent Seville marathon (Fig. 2). Physiological and biomechanical parameters were monitored and transmitted live to scientific support staff in the United Kingdom, South Korea, and Ethiopia through the Sub2 mobile application.Figure 1: The Sub2 mobile application.Figure 2: An example of the output during a competitive marathon.Daily life is becoming increasingly sedentary, and physical inactivity is a global pandemic. Applications and wearables have great potential as tools to promote and increase the levels of daily physical activity (23). Although the use of this technology is a promising alternative to combat inactivity, the efficacy of this approach remains to be determined. In a recent multidisciplinary review of 111 studies (24), less than one third were optimized for effectiveness, engagement, and acceptability and the review concluded that guidelines were needed to facilitate the synthesis of evidence across disciplines. Scientific Basis of Wearable Parameters The potential to measure almost every foreseeable parameter with a wearable device is real. However, not every parameter is practical for either the recreational or competitive athlete (17). Using the prior Rugby Union example, monitoring the covered distance during match play and/or training using GNSS may provide some interesting information but knowing the covered distance per se is unlikely to optimize performance and/or reduce the likelihood of injuries. There are increased efforts to understand the relationship between covered distances in different intensity zones and the likelihood of injury (25–28). In this context, it is important not to confuse the association between a parameter (in this case the covered distance) and an outcome (in this case the likelihood of injury) with the predictive power of a parameter as it was shown that despite being associated, parameters are not always good for prediction (29,30). Research to develop evidence-based algorithms that support the use of specific parameters to predict injuries and potentially aid in injury prevention is needed. It is important to investigate the interaction between monitored parameters and aspects of performance and/or health that wearables may detect. Collaborative efforts between sport practitioners, engineers, data analysts, sports medicine personnel, and other relevant groups will form a science base for the application of this technology. Easy access to raw data from wearable devices would speed advances and benefit the athlete, scientific community, manufacturer, and practitioner. Wearable companies typically work in isolation to safeguard their intellectual property. In the future, if wearable companies are to become more evidence-based in their approach, they will need to develop multidisciplinary teams that place greater value on research and development. Quality Control Quality control of the hardware and the data generated is crucial for wearables to improve athlete performance and health. While there are many wearables that claim to deliver reliable and valid data to the user (31,32), few wearables have had rigorous independent testing (1). Independent research institutions should at least test for the validity and reliability of wearable technology before releasing the products on the market (1,33). Recommendations exist for the assessment of reliability, sensitivity, and validity of data provided by wearables (34). Hardware also should be tested to reduce the risk of harm to the user. Third party, independently verified quality assurance, durability (battery life), survivability (water resistance), and data protection would significantly enhance a products reputation and potential use (35,36). Good quality control of the hardware, the safety, and privacy of the data would increase the reliability of the data generated and improve the comparison between devices. Improving User Interface Wearables need to be simple and time-efficient for a high level of compliance and usage (33). Monitoring simple subjective data (e.g., ratings of perceived exertion) can be done with a touch interface and advancements in speech and voice recognition allow more complex data to be gathered verbally (37). Collaboration with athletes is needed to determine the most suitable form of instant feedback, that is, what information do they need to know to improve performance while not being distracted from their surroundings. Regardless of the presentation medium (e.g., smartwatch, smartphone, ""hearables,"" etc.), the information needs to be in an informative and easily understandable format (38). This is critical, especially when the slightest distraction may decrease performance in disciplines where concentration is paramount to success (e.g., Formula 1, MotoGP, cycling, and skiing) and participant safety. In the future, biofeedback that is not provided instantly could possibly be provided in a virtual reality environment allowing the athlete to receive the feedback and implement strategies to improve aspects of performance (39). Future studies are needed to evaluate the most useful and suitable form of feedback for different athletic tasks and disciplines and to present the data in an understandable and attractive format (38). Data Collection and Handling To enhance high-level performance, a variety of multiple wearables will likely need to be connected to gather the relevant data within a single database for interpretation. Data that are standardized and easy to share will enhance and facilitate collaboration and big data analytics may identify new relationships between the parameters measured, further enhancing sports performance and health (1,40,41). Developing such large databases and the algorithms they may produce will require the collaborative effort of data service providers, exercise scientists, athletes, and data analysts to generate meaningful and useful information. The motivation to use wearables varies between the populations using them. However, if production of the device is not sustainable and the data is not reliable, valid and/or actionable, no one will ever benefit from this technology. Concluding Remarks In the future, athletes will have the option to use an increasing number of wearables and each new device should add beneficial information to the training process with the goal of helping sports scientists and health care providers improve their athlete’s or patient’s performance and/or health. Sharing data and knowledge between the athletes, exercise scientists, hardware and software engineers, and other stakeholders has the potential to improve wearable devices and technology for competitive athletes.","This paper discusses the integration of wearable sensor technologies in recreation and competitive sports, highlighting their potential to monitor and analyze physiological parameters for performance and health enhancement. It emphasizes the need for rigorous evaluation of wearables to ensure their reliability and effectiveness, alongside calls for collaboration among stakeholders to advance the development of evidence-based wearable technology."
Passive Hip Range-of-Motion Values Across Sex and Sport,2018-06-01,National Athletic Trainers' Association,Journal of Athletic Training,"Jennifer A. Hogg, Randy J. Schmitz, Anh-Dung Nguyen, Sandra J. Shultz","Greater passive hip range of motion (ROM) has been associated with greater dynamic knee valgus and thus the potential for increased risk of anterior cruciate ligament injuries. Normative data for passive hip ROM by sex are lacking. To establish and compare passive hip ROM values by sex and sport and to quantify side-to-side differences in internal-rotation ROM (ROMIR), external-rotation ROM (ROMER), and total ROM (ROMTOT). Cross-sectional study. Station-based, preparticipation screening. A total of 339 National Collegiate Athletic Association Division I athletes, consisting of 168 women (age = 19.2 ± 1.2 years, height = 169.0 ± 7.2 cm, mass = 65.3 ± 10.2 kg) and 171 men (age = 19.4 ± 1.3 years, height = 200.0 ± 8.6 cm, mass = 78.4 ± 12.0 kg) in 6 sports screened over 3 years: soccer (58 women, 67 men), tennis (20 women, 22 men), basketball (28 women, 22 men), softball or baseball (38 women, 31 men), cross-country (18 women, 19 men), and golf (6 women, 10 men). Passive hip ROM was measured with the athlete lying prone with the hip abducted to 20° to 30° and knee flexed to 90°. The leg was passively internally and externally rotated until the point of sacral movement. Three measures were averaged for each direction and leg and used for analysis. We compared ROMIR, ROMER, ROMTOT (ROMTOT = ROMIR + ROMER), and relative ROM (ROMREL = ROMIR - ROMER) between sexes and among sports using separate 2 × 6 repeated-measures analyses of variance. Women had greater ROMIR (38.1° ± 8.2° versus 28.6° ± 8.4°; F1,327 = 91.74, P < .001), ROMTOT (72.1° ± 10.6° versus 64.4° ± 10.1°; F1,327 = 33.47, P < .001), and ROMREL (1.5° ± 16.0° versus -7.6° ± 16.5°; F1,327 = 37.05, P < .001) than men but similar ROMER (34.0° ± 12.2° versus 35.8° ± 11.5°; F1,327 = 1.65, P = .20) to men. Cross-country athletes exhibited greater ROMIR (37.0° ± 9.3° versus 30.9° ± 9.4° to 33.3° ± 9.5°; P = .001) and ROMREL (5.9° ± 18.3° versus -9.6° ± 16.9° to -2.7° ± 17.3°; P = .001) and less ROMER (25.7° ± 7.5° versus 35.0° ± 13.0° to 40.2° ± 12.0°; P < .001) than basketball, soccer, softball or baseball, and tennis athletes. They also displayed less ROMTOT (62.7° ± 8.1° versus 70.0° ± 9.1° to 72.9° ± 11.9°; P < .001) than basketball, softball or baseball, and tennis athletes. Women had greater ROMIR than men, resulting in greater ROMTOT and ROMREL. Researchers should examine the extent to which this greater bias toward ROMIR may explain women's greater tendency for dynamic knee valgus. With the exception of cross-country, ROM values were similar across sports. The clinical implications of these aberrant cross-country values require further study.","This paper investigates passive hip range-of-motion (ROM) values across different sexes and sports, emphasizing the potential link between greater hip ROM and an increased risk of anterior cruciate ligament injuries. Findings reveal that women exhibit greater internal rotation, total ROM, and relative ROM compared to men, while cross-country athletes display unique ROM profiles compared to athletes from other sports, suggesting a need for further investigation into the implications of these variations."
Weightbearing ankle dorsiflexion range of motion and sagittal plane kinematics during single leg drop jump landing in healthy male athletes,2018-06-01,Edizioni Minerva Medica,The Journal of Sports Medicine and Physical Fitness,"Brittany Dowling, April L. Mcpherson, James M. Paci","Passive ankle dorsiflexion range of motion (DROM) measures have been identified as a risk factor for injury during landings. However, passive measurements might not be indicative of dynamic ankle movement, whereas a weightbearing ROM might be a better tool when evaluating movement. The purpose of this study was to investigate the relationship between weightbearing DROM and sagittal plane landing mechanics in a single leg drop jump task.Seventy-three male athletes (22.1±3.9 years old, height 186.2±11 cm, and weight 100.2±21.8 kg) performed bilateral modified-lunge tasks and bilateral single leg drop jump landings while 3D kinematic data were collected. Hip, knee, and ankle joint angles were calculated at initial contact (IC) maximum knee flexion (MKF), and total excursion (TE) during a single leg drop jump landing.No bilateral differences in DROM and single leg landing mechanics existed. Decreased ankle DROM was correlated to decreased ankle dorsiflexion at MKF (P=0.00) and TE (P=0.00) for both dominant and non-dominant limbs. Decreased ankle DROM was also correlated to decreased knee flexion at IC (P=0.00), MKF (P=0.00), and TE (P=0.1), for both dominant and non-dominant limbs. Ankle DROM correlated to hip flexion at MKF (r=0.25) and TE (r=0.30) in the dominant limb.Restrictions in DROM may contribute to a stiff landing with less flexion at the ankle and knee. These findings may be useful in designing training programs aimed at increasing DROM in order to improve an athlete's landing mechanics and decrease risk of injury.","The paper investigates the relationship between weightbearing ankle dorsiflexion range of motion (DROM) and sagittal plane kinematics during single leg drop jump landings in male athletes. It finds that decreased ankle DROM correlates with restrictions in joint flexion at the ankle and knee, suggesting that improving DROM could enhance landing mechanics and reduce injury risk."
Fifth metatarsal stress fracture in elite male football players: an on-field analysis of plantar loading,2018-06-01,BMJ,BMJ Open Sport &amp; Exercise Medicine,"Athol Thomson, Richard Akenhead, Rodney Whiteley, Pieter D'Hooghe, Ken Van Alsenoy, Chris Bleakley","Evaluate plantar loading during 'on-field' common football movements in players after fifth metatarsal (MT-5) stress fracture and compare with matched healthy players.Fourteen elite male soccer players participated in the study conducted on a natural grass playing surface using firm ground football boots. Seven players who had suffered a primary stress fracture (MT-5 group) and seven matched healthy players (controls, CON) performed three common football movements while in-shoe plantar loading data were collected.Large between-group differences exist for maximal vertical force normalised to bodyweight (Fmax) at the lateral toes (2-5) of the stance leg during a set-piece kick (MT-5: 0.2±0.06 bodyweight (BW), CON: 0.1±0.05 BW, effect size (ES) 1.4) and the curved run where the MT-5 group showed higher Fmax with very large effect size at the lateral forefoot of the injured (closest to curve) limb when running a curve to receive a pass (MT-5 injured-CON=0.01 BW, ES 1.5). Small between-group differences were evident during straight-line running. However, between-limb analysis of MT-5 group showed significant unloading of the lateral forefoot region of the involved foot.Elite male football players who have returned to play after MT-5 stress fracture display significantly higher maximum plantar force at the lateral forefoot and lateral toes (2-5) compared with healthy matched control players during two football movements (kick and curved run) with the magnitude of these differences being very large. These findings may have important implications for manipulating regional load during rehabilitation or should a player report lateral forefoot prodromal symptoms.","This paper investigates plantar loading in elite male football players who have recovered from a fifth metatarsal stress fracture compared to matched healthy players during common football movements. The results indicate that players with a history of the injury demonstrate significantly higher maximum plantar forces at the lateral forefoot and toes during specific actions, which suggests considerations for rehabilitation strategies to manage loading in this region."
Work-Related Injury and Management Strategies Among Certified Athletic Trainers,2018-06-01,National Athletic Trainers' Association,Journal of Athletic Training,"Kristen L. Kucera, Hester J. Lipscomb, Karen G. Roos, John M. Dement, Jennifer M. Hootman","Context: Health care workers have high rates of musculoskeletal injuries, but many of these injuries go unreported to workers' compensation and national surveillance systems. Little is known regarding the work-related injuries of certified athletic trainers (ATs). Objective: To determine the 12-month incidence and prevalence of work-related injuries and describe injury-reporting and -management strategies. Design: Cross-sectional study. Setting: Population-based online survey. Patients or Other Participants: Of the 29 051 ATs currently certified by the Board of Certification, Inc, who “opted in” to research studies, we randomly selected 10 000. Of these, 1826 (18.3%) ATs currently working in the clinical setting were eligible and participated in the baseline survey. Main Outcome Measure(s): An online survey was e-mailed in May of 2012. We assessed self-reported work-related injuries in the previous 12 months and management strategies including medical care, work limitations or modifications, and time off work. Statistics (frequencies and percentages) were calculated to describe injury rates per 200 000 work hours, injury prevalence, injury characteristics, and injury-reporting and -management strategies. Results: A total of 247 ATs reported 419 work-related injuries during the previous 12 months, for an incidence rate of 21.6 per 200 000 hours (95% confidence interval = 19.6, 23.7) and injury prevalence of 13.5% (95% confidence interval = 12.0%, 15.1%). The low back (26%), hand/fingers (9%), and knee (9%) were frequently affected body sites. Injuries were most often caused by bodily motion/overexertion/repetition (52%), contact with objects/equipment/persons (24%), or slips/trips/falls (15%). More than half of injured ATs (55.5%) sought medical care, 25% missed work, and most (77%) did not file a workers' compensation claim for their injury. Half of injured ATs were limited at work (n = 125), and 89% modified or changed their athletic training work as a result of the injury. Conclusions: More than half of AT work-related injuries required medical care or work limitations and were not reported for workers' compensation. Understanding how ATs care for and manage their work-related injuries is important given that few take time off work.","The paper investigates the incidence and management strategies of work-related injuries among certified athletic trainers (ATs) through a cross-sectional survey. It highlights that a significant number of ATs experience musculoskeletal injuries, with common body sites being the lower back, hands, and knees, and emphasizes the need for improved reporting and management of these injuries, as many ATs do not file workers' compensation claims."
Comparing Acceleration and Change of Direction Ability Between Backpedal and Cross-over Run Techniques for Use in American Football,2018-05-30,Ovid Technologies (Wolters Kluwer Health),Journal of Strength &amp; Conditioning Research,"Domenic Angelino, Thomas J.G. McCabe, Jacob E. Earp","Angelino, D, McCabe, TJG, and Earp, JE. Comparing acceleration and change of direction ability between backpedal and cross-over run techniques for use in American football. J Strength Cond Res 35(1): 47-55, 2021-In American football, defensive backs guard receivers using either cross-over (CO) run or backpedal (BP) techniques, but the efficacy of these techniques is unknown. The purpose of this study was to compare linear acceleration (LA) and change of direction (CoD) ability when using CO and BP. Collegiate football defensive backs participated in LA (n = 13) and CoD (n = 7) testing. During LA, subjects performed CO, BP, and forward sprints with split times taken between 0-3 and 3-5 yd and ground reaction forces recorded 0 and 3 yd from the start. During CoD testing, subjects performed the CO or BP for 3 yd and then were given a cue to sprint to a gate 5 yd away in 1 of 4 directions (downfield, midfield, sideline, or upfield). In LA, CO was faster than BP between 0-3 yd (Δ -0.20 ± 0.02 seconds, p = 0.000) and 3-5 yd (Δ -0.12 ± 0.02 seconds, p = 0.000). At the start of the movement, CO demonstrated greater propulsive forces (p = 0.017). However, 3 yd from the start, CO demonstrated greater propulsive forces and reduced braking forces (p = 0.000 & 0.003). In CoD, CO was faster than BP when running in the downfield (Δ 0.21 ± 0.05 seconds, p = 0.044) and lateral directions (Δ 0.21 ± 0.08 seconds, p = 0.035), but similar in the upfield direction (Δ 0.01 ± 0.08, p = 0.986). Our results indicate that CO is superior to BP in LA, CoD ability, and movement efficiency and support the use of CO for defensive backs.","This paper investigates the effectiveness of two techniques—backpedal (BP) and cross-over (CO) runs—used by defensive backs in American football concerning linear acceleration (LA) and change of direction (CoD) ability. The findings reveal that CO outperforms BP in both LA and CoD, suggesting CO's advantages in movement efficiency and propulsive forces, thereby endorsing its implementation for defensive backs."
Fluctuations in blood biomarkers of head trauma in NCAA football athletes over the course of a season,2018-05-29,Journal of Neurosurgery Publishing Group (JNSPG),Journal of Neurosurgery,"Jonathan M. Oliver, Anthony J. Anzalone, Jason D. Stone, Stephanie M. Turner, Damond Blueitt, J. Craig Garrison, Andrew T. Askow, Joel A. Luedke, Andrew R. Jagim","OBJECTIVE Repetitive subconcussive head trauma is a consequence of participation in contact sports and may be linked to neurodegenerative diseases. The degree of neurological injury caused by subconcussive head trauma is not easily detectible, and this injury does not induce readily identifiable clinical signs or symptoms. Recent advancements in immunoassays make possible the detection and quantification of blood biomarkers linked to head trauma. Identification of a blood biomarker that can identify the extent of neurological injury associated with subconcussive head trauma may provide an objective measure for informed decisions concerning cumulative exposure to subconcussive head trauma. The purpose of the current study was to examine changes in the blood biomarkers of subconcussive head trauma over the course of an American football season. METHODS Thirty-five National Collegiate Athletic Association (NCAA) American football athletes underwent blood sampling throughout the course of a football season. Serial samples were obtained throughout the 2016 season, during which the number and magnitude of head impacts changed. Blood samples were analyzed for plasma concentrations of tau and serum concentrations of neurofilament light polypeptide (NF-L). Athletes were grouped based on their starter status, because athletes identified as starters are known to sustain a greater number of impacts. Between-group differences and time-course differences were assessed. RESULTS In nonstarters, plasma concentrations of tau decreased over the course of the season, with lower values observed in starters; this resulted in a lower area under the curve (AUC) (starters: 416.78 ± 129.17 pg/ml/day; nonstarters: 520.84 ± 163.19 pg/ml/day; p = 0.050). Plasma concentrations of tau could not be used to discern between starters and nonstarters. In contrast, serum concentrations of NF-L increased throughout the season as head impacts accumulated, specifically in those athletes categorized as starters. The higher serum concentrations of NF-L observed in starters resulted in a larger AUC (starters: 1605.03 ± 655.09 pg/ml/day; nonstarters: 1067.29 ± 272.33 pg/ml/day; p = 0.007). The AUC of the receiver operating characteristic curve analyses displayed fair to modest accuracy to identify athletes who were starters with the use of serum NF-L following periods of repetitive impacts. CONCLUSIONS The different patterns observed in serum NF-L and plasma tau concentrations provide preliminary evidence for the use of blood biomarkers to detect the neurological injury associated with repetitive subconcussive head trauma. Although further investigation is necessary, such findings might lay the foundation for the further development of an objective measure for the detection of neurological injury caused by subconcussive head trauma.","The paper investigates the fluctuations in blood biomarkers associated with subconcussive head trauma in NCAA football athletes over a season. It highlights the differential patterns of serum neurofilament light polypeptide (NF-L) and plasma tau concentrations, suggesting that NF-L could serve as a potential objective measure for neurological injury linked to repetitive head impacts, particularly among starting players."
